type,url,caption,hashtags,mentions,timestamp,location,post_id,clean_caption_english,clean_hashtags_english
post,https://www.instagram.com/p/DbuHJpysQ9L/,"4,620 likes, 37 comments - thehumanfile4 on August 6, 2026: ""pregnancy#safety#womencare #besttips#growthchalleng"".","#safety, #womencare, #besttips, #growthchalleng",,2026-08-07 01:39:36+00:00,Locations,POST_00001,"thehumanfile4 on August 6, 2026: ""pregnancy#safety#womencare #besttips#growthchalleng"".",#safety #womencare #besttips #growthchalleng
post,https://www.instagram.com/p/DavfKSWzeNY/,"51K likes, 229 comments - _explore_with_raghav_ on July 13, 2026: ""🔥 Tried the famous Vegan Fingers at The Swad Station! 🤤✨
.
Crispy, tasty, and definitely worth trying if you’re in Jammu! 😍
.
📍 Location: The Swad Station, NITCO Lane, Talab Tillo, Jammu
.
Follow for more food spots & honest reviews:
👉 @_explore_with_raghav_ 
.
#viralreels #jammufood 
#foodreels 
#streetfood 
#foodie"".","#viralreels, #jammufood, #foodreels, #streetfood, #foodie",@_explore_with_raghav_,2026-07-13 17:51:03+00:00,Nitco Lane,POST_00002,"explore with raghav on July 13, 2026: "" Tried the famous Vegan Fingers at The Swad Station! . Crispy, tasty, and definitely worth trying if you re in Jammu! . Location: The Swad Station, NITCO Lane, Talab Tillo, Jammu . Follow for more food spots & honest reviews: @ explore with raghav . #viralreels #jammufood #foodreels #streetfood #foodie"".",#viralreels #jammufood #foodreels #streetfood #foodie
post,https://www.instagram.com/p/DZsN1G1NnGJ/,"485K likes, 476 comments - team.deverakonda on June 17, 2026: ""Tag Your ❤️

#Virosh #vijaydeverakonda #RashmikaMandanna"".","#Virosh, #vijaydeverakonda, #RashmikaMandanna",,2026-06-17 14:47:11+00:00,Locations,POST_00003,"team.deverakonda on June 17, 2026: ""Tag Your #Virosh #vijaydeverakonda #RashmikaMandanna"".",#Virosh #vijaydeverakonda #RashmikaMandanna
post,https://www.instagram.com/p/DaM4ecXSc6R/,"260K likes, 8,758 comments - newsblink_media on June 30, 2026: ""Shubhankar Mishra को Neha Bharti ने बताया बेवक़ूफ़ और BJP का एजेंट 🚨

#shubhankarmishra 
#nehabharti 
#cockroachjantaparty 
#cjp 
#godimedia"".","#shubhankarmishra, #nehabharti, #cockroachjantaparty, #cjp, #godimedia",,2026-06-30 07:18:55+00:00,Locations,POST_00004,"newsblink media on June 30, 2026: ""Shubhankar Mishra Neha Bharti BJP #shubhankarmishra #nehabharti #cockroachjantaparty #cjp #godimedia"".",#shubhankarmishra #nehabharti #cockroachjantaparty #cjp #godimedia
post,https://www.instagram.com/p/DalDNToBHsa/,"290K likes, 972 comments - humariduniya1107 on July 6, 2026: ""😌🫂🥹

.
#humariduniya🤍 #couplereels #couplevibes #trendingreelsindia #fyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy"".","#humariduniya, #couplereels, #couplevibes, #trendingreelsindia, #fyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy",,2026-07-09 16:30:16+00:00,Locations,POST_00005,"humariduniya1107 on July 6, 2026: "" . #humariduniya #couplereels #couplevibes #trendingreelsindia #fyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy"".",#humariduniya #couplereels #couplevibes #trendingreelsindia #fyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
post,https://www.instagram.com/p/Db3aiqhS12w/,"286K likes, 357 comments - ai.with.naveen on August 10, 2026: ""😱 DSP Mohammed Siraj ka Dhamaka🔥Padikkal 142 | Sarfaraz Khan

Team India vs Sri Lanka XI warm-up Test mein ek zabardast batting action dekhne ko mila! 🔥

DSP Mohammed Siraj ne bat se bhi kamaal kar diya aur sirf 15 balls mein 32 runs thok diye, jisme 4 sixes aaye aur strike rate raha 213.33! 😱🔥

Wahin Devdutt Padikkal ne शानदार 142 runs ki innings kheli, Yashasvi Jaiswal ne 61 runs banaye aur Ravindra Jadeja ne bhi important contribution diya.

Saath hi Sai Sudharsan ke injured hone ke baad Sarfaraz Khan ko team mein include kiye jaane ki update ne excitement aur badha di hai.

Ab Team India mein selection ko lekar bawal hone wala hai! 👀🔥

#MohammedSiraj #DevduttPadikkal #SarfarazKhan #IndianCricket #indvssl"".","#MohammedSiraj, #DevduttPadikkal, #SarfarazKhan, #IndianCricket, #indvssl",,2026-08-10 16:12:52+00:00,Locations,POST_00006,"ai.with.naveen on August 10, 2026: "" DSP Mohammed Siraj ka Dhamaka Padikkal 142 Sarfaraz Khan Team India vs Sri Lanka XI warm-up Test mein ek zabardast batting action dekhne ko mila! DSP Mohammed Siraj ne bat se bhi kamaal kar diya aur sirf 15 balls mein 32 runs thok diye, jisme 4 sixes aaye aur strike rate raha 213.33! Wahin Devdutt Padikkal ne 142 runs ki innings kheli, Yashasvi Jaiswal ne 61 runs banaye aur Ravindra Jadeja ne bhi important contribution diya. Saath hi Sai Sudharsan ke injured hone ke baad Sarfaraz Khan ko team mein include kiye jaane ki update ne excitement aur badha di hai. Ab Team India mein selection ko lekar bawal hone wala hai! #MohammedSiraj #DevduttPadikkal #SarfarazKhan #IndianCricket #indvssl"".",#MohammedSiraj #DevduttPadikkal #SarfarazKhan #IndianCricket #indvssl
post,https://www.instagram.com/p/DZh-hTDoTNg/,"54K likes, 246 comments - akhirapath.official on June 13, 2026: ""Allah’s mercy is greater than your past. 

@muftimenkofficial 
#islam #past #muslim
#islamicreminder"".","#islam, #past, #muslim, #islamicreminder",@muftimenkofficial,2026-06-13 15:21:22+00:00,Locations,POST_00007,"akhirapath.official on June 13, 2026: ""Allah s mercy is greater than your past. @muftimenkofficial #islam #past #muslim #islamicreminder"".",#islam #past #muslim #islamicreminder
post,https://www.instagram.com/p/DbH7ZDOy_es/,"8,345 likes, 57 comments - ur_suman64 on July 22, 2026: ""Sochenge tumhe pyar ❤️🤌🏻
.
@ur_suman64 
.
.
.
.
#instagood #viral #trending #couplegoals #couple"".","#instagood, #viral, #trending, #couplegoals, #couple",@ur_suman64,2026-07-23 05:42:37+00:00,Locations,POST_00008,"ur suman64 on July 22, 2026: ""Sochenge tumhe pyar . @ur suman64 . . . . #instagood #viral #trending #couplegoals #couple"".",#instagood #viral #trending #couplegoals #couple
post,https://www.instagram.com/p/DbGCtR4TvI9/,"409K likes, 5,414 comments - neelakkuyil_entertainments on July 22, 2026: ""ഡൽഹിയിൽ നടക്കുന്ന വിദ്യാർത്ഥികളുടെ സമരത്തിന് ഐക്യദാർഥിയുമായി നടി പ്രിയ 🔥"".",,,2026-07-22 12:03:53+00:00,Locations,POST_00009,"neelakkuyil entertainments on July 22, 2026: "" "".",
post,https://www.instagram.com/p/DbDa1NBCC1X/,"28K likes, 231 comments - f.aaah._ on July 21, 2026: ""Alhamdulillah 🫵🏻💎
.
.
.
.
.
#bride #wedding #groom #weddingtrend #her"".","#bride, #wedding, #groom, #weddingtrend, #her",,2026-07-21 11:37:23+00:00,Locations,POST_00010,"f.aaah. on July 21, 2026: ""Alhamdulillah . . . . . #bride #wedding #groom #weddingtrend #her"".",#bride #wedding #groom #weddingtrend #her
post,https://www.instagram.com/p/DYSMDQvC4Rs/,"314K likes, 1,424 comments - noor_bliss33 on May 13, 2026: ""🇨🇦 Canada Expands Economic Immigration 🇨🇦📈

Canada plans to welcome more than 500,000 new immigrants per year by 2026, compared to around 430,000 in 2022. This policy aims to support economic growth and address labor shortages across the country.

The program mainly focuses on skilled workers, with the goal of boosting GDP growth by nearly 3% annually through this demographic and economic strategy. 🌍✨

#Canada #Immigration #Economy #SkilledWorkers #WorldNews DidYouKnow Growth Future GlobalTrends"".","#Canada, #Immigration, #Economy, #SkilledWorkers, #WorldNews",,2026-05-13 15:40:19+00:00,Locations,POST_00011,"noor bliss33 on May 13, 2026: "" Canada Expands Economic Immigration Canada plans to welcome more than 500,000 new immigrants per year by 2026, compared to around 430,000 in 2022. This policy aims to support economic growth and address labor shortages across the country. The program mainly focuses on skilled workers, with the goal of boosting GDP growth by nearly 3% annually through this demographic and economic strategy. #Canada #Immigration #Economy #SkilledWorkers #WorldNews DidYouKnow Growth Future GlobalTrends"".",#Canada #Immigration #Economy #SkilledWorkers #WorldNews
post,https://www.instagram.com/p/DZPwA4ah4t_/,"521K likes, 22K comments - nanhe.quadri on June 6, 2026",,,2026-08-07 04:57:07+00:00,Locations,POST_00012,"nanhe.quadri on June 6, 2026",
post,https://www.instagram.com/p/DaN0efvook8/,"295K likes, 521 comments - fitwithfarhaaan on June 30, 2026: ""He can change all the things. Never lose hope in allah💯. In the right time he will give you everything so wait for it (sabr) 🥹🤲🏻👆🏻🤍
.
.
.
.
.
#allah #hope #sabr #islamic #instagood"".","#allah, #hope, #sabr, #islamic, #instagood",,2026-06-30 16:01:57+00:00,Locations,POST_00013,"fitwithfarhaaan on June 30, 2026: ""He can change all the things. Never lose hope in allah . In the right time he will give you everything so wait for it (sabr) . . . . . #allah #hope #sabr #islamic #instagood"".",#allah #hope #sabr #islamic #instagood
post,https://www.instagram.com/p/DZ5XUTaxfPd/,"48K likes, 90 comments - _mi.creations on June 22, 2026: ""Everything ✨🥺#explore #fyp #couplegoals #trendingsong #love
.
.
.
."".","#explore, #fyp, #couplegoals, #trendingsong, #love",,2026-06-22 17:25:22+00:00,Locations,POST_00014,"mi.creations on June 22, 2026: ""Everything #explore #fyp #couplegoals #trendingsong #love . . . ."".",#explore #fyp #couplegoals #trendingsong #love
post,https://www.instagram.com/p/Da5j8iGypl3/,"221K likes, 808 comments - peace_ofsoul98 on July 17, 2026: ""今夜、③thvはハリウッドで行われた
@gracieabrams と @dojacat のパフォーマンスを観客席から鑑賞しました。ファッションショーにも慣れている @bts.bighitofficial のスターは、ランウェイに登場してもおかしくないような装いで登場しました。"".",,"@gracieabrams, @dojacat, @bts",2026-07-17 15:46:15+00:00,Locations,POST_00015,"peace ofsoul98 on July 17, 2026: "" thv @gracieabrams @dojacat @bts.bighitofficial "".",
post,https://www.instagram.com/p/Dbycl9rCx9s/,"87K likes, 1,061 comments - filmygalaxy on August 8, 2026: ""Aggu Spotted with his Bestfriend at Bandra in Mumbai🔥
.
.
.
#aggu"".",#aggu,,2026-08-08 17:54:58+00:00,Locations,POST_00016,"filmygalaxy on August 8, 2026: ""Aggu Spotted with his Bestfriend at Bandra in Mumbai . . . #aggu"".",#aggu
post,https://www.instagram.com/p/Da0onjDsZDG/,"36K likes, 47 comments - shah__editx.8 on July 15, 2026: ""V stepped into the crowd, taking in live performances at Vogue World: Hollywood. Known for his own standout fashion moments, he kept it effortlessly stylish in a look worthy of the runway. #Taehyung"".",#Taehyung,,2026-07-15 17:46:37+00:00,Locations,POST_00017,"shah editx.8 on July 15, 2026: ""V stepped into the crowd, taking in live performances at Vogue World: Hollywood. Known for his own standout fashion moments, he kept it effortlessly stylish in a look worthy of the runway. #Taehyung"".",#Taehyung
post,https://www.instagram.com/p/DYkJFkfs1h7/,"529K likes, 1,774 comments - i.zahraa.a on May 20, 2026‎: ""🙏🏻♥️

#اكسبلور #fypシ #explore #مكة #muslimcouple"". ‎","#اكسبلور, #fypシ, #explore, #مكة, #muslimcouple",,2026-05-20 15:00:24+00:00,Locations,POST_00018,"i.zahraa.a on May 20, 2026 : "" # #fyp #explore # #muslimcouple"".",# #fyp #explore # #muslimcouple
post,https://www.instagram.com/p/DblD77UxgLT/,"5,926 likes, 40 comments - sheikhanamshu on August 3, 2026: ""Aren’t all men the same?🥹"".",,,2026-08-03 13:19:30+00:00,Locations,POST_00019,"sheikhanamshu on August 3, 2026: ""Aren t all men the same? "".",
post,https://www.instagram.com/p/DY6bkObyFQk/,"138K likes, 508 comments - duggar_vlogs on May 28, 2026: ""Beautiful Little Girl Selling Healthy Streetfood"".",,,2026-05-29 06:46:12+00:00,Locations,POST_00020,"duggar vlogs on May 28, 2026: ""Beautiful Little Girl Selling Healthy Streetfood"".",
post,https://www.instagram.com/p/DbsL1LNsl7j/,"11K likes, 99 comments - your.varunnn on August 6, 2026: ""Thik h bhyi khrida h to maar kyu rhi h😂
MustTry - UrbanGabru Hair Removal Spray 🤯 

Link in Bio ✅ 

@urbangabru_official

Available on Amazon, Flipkart, Blinkit, InstaMart, Zepto

#reel #funny #viral #friend
#reelsinstagram"".","#reel, #funny, #viral, #friend, #reelsinstagram",@urbangabru_official,2026-08-06 07:33:40+00:00,Locations,POST_00021,"your.varunnn on August 6, 2026: ""Thik h bhyi khrida h to maar kyu rhi h MustTry - UrbanGabru Hair Removal Spray Link in Bio @urbangabru official Available on Amazon, Flipkart, Blinkit, InstaMart, Zepto #reel #funny #viral #friend #reelsinstagram"".",#reel #funny #viral #friend #reelsinstagram
post,https://www.instagram.com/p/DbyS6jltVAH/,"6,831 likes, 115 comments - jamalnssr on August 8, 2026: ""Have you ever thought about what it’s like in Jannah?"".",,,2026-08-08 16:35:59+00:00,Locations,POST_00022,"jamalnssr on August 8, 2026: ""Have you ever thought about what it s like in Jannah?"".",
